Job_Title,Required_Skills,Learning Resources,Skill Level,Industry/Field,Company Type,Job Demand,Job Link 1,Job Link 2,Job Link 3,Job Link 4,Job Link 5,Company,Base_Salary,Total_Compensation,Experience_Level,Location,Posting_Date
Data Scientist,"Python, R, SQL, Machine Learning, Data Visualization, Statistics","Coursera - Data Scientist Specialization, LinkedIn Learning - Python Fundamentals",Advanced,"IT, Analytics","Corporate, Startup",High,https://www.linkedin.com/jobs/search/?keywords=Data%20Scientist,https://www.indeed.com/jobs?q=Data%20Scientist,https://www.glassdoor.com/Job/jobs.htm?sc.keyword=Data%20Scientist,https://www.monster.com/jobs/search/?q=Data%20Scientist,https://www.careerbuilder.com/jobs?keywords=Data%20Scientist,Meta,275298,364200,Senior Level,"Seattle, WA",2024-01-28
Data Scientist,"Python, R, SQL, Machine Learning, Data Visualization, Statistics","Coursera - Data Scientist Specialization, LinkedIn Learning - Python Fundamentals",Advanced,"IT, Analytics","Corporate, Startup",High,https://www.linkedin.com/jobs/search/?keywords=Data%20Scientist,https://www.indeed.com/jobs?q=Data%20Scientist,https://www.glassdoor.com/Job/jobs.htm?sc.keyword=Data%20Scientist,https://www.monster.com/jobs/search/?q=Data%20Scientist,https://www.careerbuilder.com/jobs?keywords=Data%20Scientist,Apple,231361,344039,Senior Level,"Boston, MA",2024-02-04
Data Scientist,"Python, R, SQL, Machine Learning, Data Visualization, Statistics","Coursera - Data Scientist Specialization, LinkedIn Learning - Python Fundamentals",Advanced,"IT, Analytics","Corporate, Startup",High,https://www.linkedin.com/jobs/search/?keywords=Data%20Scientist,https://www.indeed.com/jobs?q=Data%20Scientist,https://www.glassdoor.com/Job/jobs.htm?sc.keyword=Data%20Scientist,https://www.monster.com/jobs/search/?q=Data%20Scientist,https://www.careerbuilder.com/jobs?keywords=Data%20Scientist,Amazon,240999,357266,Mid Level,"Seattle, WA",2024-01-11
Data Scientist,"Python, R, SQL, Machine Learning, Data Visualization, Statistics","Coursera - Data Scientist Specialization, LinkedIn Learning - Python Fundamentals",Advanced,"IT, Analytics","Corporate, Startup",High,https://www.linkedin.com/jobs/search/?keywords=Data%20Scientist,https://www.indeed.com/jobs?q=Data%20Scientist,https://www.glassdoor.com/Job/jobs.htm?sc.keyword=Data%20Scientist,https://www.monster.com/jobs/search/?q=Data%20Scientist,https://www.careerbuilder.com/jobs?keywords=Data%20Scientist,Netflix,178813,218296,Entry Level,"New York, NY",2024-01-31
Data Scientist,"Python, R, SQL, Machine Learning, Data Visualization, Statistics","Coursera - Data Scientist Specialization, LinkedIn Learning - Python Fundamentals",Advanced,"IT, Analytics","Corporate, Startup",High,https://www.linkedin.com/jobs/search/?keywords=Data%20Scientist,https://www.indeed.com/jobs?q=Data%20Scientist,https://www.glassdoor.com/Job/jobs.htm?sc.keyword=Data%20Scientist,https://www.monster.com/jobs/search/?q=Data%20Scientist,https://www.careerbuilder.com/jobs?keywords=Data%20Scientist,Google,220315,320219,Mid Level,"Austin, TX",2024-02-05
Data Scientist,"Python, R, SQL, Machine Learning, Data Visualization, Statistics","Coursera - Data Scientist Specialization, LinkedIn Learning - Python Fundamentals",Advanced,"IT, Analytics","Corporate, Startup",High,https://www.linkedin.com/jobs/search/?keywords=Data%20Scientist,https://www.indeed.com/jobs?q=Data%20Scientist,https://www.glassdoor.com/Job/jobs.htm?sc.keyword=Data%20Scientist,https://www.monster.com/jobs/search/?q=Data%20Scientist,https://www.careerbuilder.com/jobs?keywords=Data%20Scientist,Microsoft,182010,266324,Mid Level,"San Francisco, CA",2024-01-30
Data Scientist,"Python, R, SQL, Machine Learning, Data Visualization, Statistics","Coursera - Data Scientist Specialization, LinkedIn Learning - Python Fundamentals",Advanced,"IT, Analytics","Corporate, Startup",High,https://www.linkedin.com/jobs/search/?keywords=Data%20Scientist,https://www.indeed.com/jobs?q=Data%20Scientist,https://www.glassdoor.com/Job/jobs.htm?sc.keyword=Data%20Scientist,https://www.monster.com/jobs/search/?q=Data%20Scientist,https://www.careerbuilder.com/jobs?keywords=Data%20Scientist,Adobe,190479,271467,Mid Level,"Austin, TX",2024-01-23
Data Scientist,"Python, R, SQL, Machine Learning, Data Visualization, Statistics","Coursera - Data Scientist Specialization, LinkedIn Learning - Python Fundamentals",Advanced,"IT, Analytics","Corporate, Startup",High,https://www.linkedin.com/jobs/search/?keywords=Data%20Scientist,https://www.indeed.com/jobs?q=Data%20Scientist,https://www.glassdoor.com/Job/jobs.htm?sc.keyword=Data%20Scientist,https://www.monster.com/jobs/search/?q=Data%20Scientist,https://www.careerbuilder.com/jobs?keywords=Data%20Scientist,Salesforce,161801,239340,Mid Level,"San Francisco, CA",2024-01-19
Data Scientist,"Python, R, SQL, Machine Learning, Data Visualization, Statistics","Coursera - Data Scientist Specialization, LinkedIn Learning - Python Fundamentals",Advanced,"IT, Analytics","Corporate, Startup",High,https://www.linkedin.com/jobs/search/?keywords=Data%20Scientist,https://www.indeed.com/jobs?q=Data%20Scientist,https://www.glassdoor.com/Job/jobs.htm?sc.keyword=Data%20Scientist,https://www.monster.com/jobs/search/?q=Data%20Scientist,https://www.careerbuilder.com/jobs?keywords=Data%20Scientist,Oracle,195554,260773,Senior Level,"Boston, MA",2024-01-12
Data Scientist,"Python, R, SQL, Machine Learning, Data Visualization, Statistics","Coursera - Data Scientist Specialization, LinkedIn Learning - Python Fundamentals",Advanced,"IT, Analytics","Corporate, Startup",High,https://www.linkedin.com/jobs/search/?keywords=Data%20Scientist,https://www.indeed.com/jobs?q=Data%20Scientist,https://www.glassdoor.com/Job/jobs.htm?sc.keyword=Data%20Scientist,https://www.monster.com/jobs/search/?q=Data%20Scientist,https://www.careerbuilder.com/jobs?keywords=Data%20Scientist,IBM,128267,188380,Entry Level,"Boston, MA",2024-01-15
Software Engineer,"Java, C++, Python, Agile Methodologies, Version Control (Git), Problem-solving","Coursera - Software Engineer Specialization, LinkedIn Learning - Java Fundamentals",Intermediate,IT,"Corporate, Startup",Medium,https://www.linkedin.com/jobs/search/?keywords=Software%20Engineer,https://www.indeed.com/jobs?q=Software%20Engineer,https://www.glassdoor.com/Job/jobs.htm?sc.keyword=Software%20Engineer,https://www.monster.com/jobs/search/?q=Software%20Engineer,https://www.careerbuilder.com/jobs?keywords=Software%20Engineer,Meta,189376,263147,Entry Level,"San Francisco, CA",2024-01-31
Software Engineer,"Java, C++, Python, Agile Methodologies, Version Control (Git), Problem-solving","Coursera - Software Engineer Specialization, LinkedIn Learning - Java Fundamentals",Intermediate,IT,"Corporate, Startup",Medium,https://www.linkedin.com/jobs/search/?keywords=Software%20Engineer,https://www.indeed.com/jobs?q=Software%20Engineer,https://www.glassdoor.com/Job/jobs.htm?sc.keyword=Software%20Engineer,https://www.monster.com/jobs/search/?q=Software%20Engineer,https://www.careerbuilder.com/jobs?keywords=Software%20Engineer,Apple,223084,344558,Senior Level,"Austin, TX",2024-02-06
Software Engineer,"Java, C++, Python, Agile Methodologies, Version Control (Git), Problem-solving","Coursera - Software Engineer Specialization, LinkedIn Learning - Java Fundamentals",Intermediate,IT,"Corporate, Startup",Medium,https://www.linkedin.com/jobs/search/?keywords=Software%20Engineer,https://www.indeed.com/jobs?q=Software%20Engineer,https://www.glassdoor.com/Job/jobs.htm?sc.keyword=Software%20Engineer,https://www.monster.com/jobs/search/?q=Software%20Engineer,https://www.careerbuilder.com/jobs?keywords=Software%20Engineer,Amazon,172333,209776,Entry Level,"San Francisco, CA",2024-02-06
Software Engineer,"Java, C++, Python, Agile Methodologies, Version Control (Git), Problem-solving","Coursera - Software Engineer Specialization, LinkedIn Learning - Java Fundamentals",Intermediate,IT,"Corporate, Startup",Medium,https://www.linkedin.com/jobs/search/?keywords=Software%20Engineer,https://www.indeed.com/jobs?q=Software%20Engineer,https://www.glassdoor.com/Job/jobs.htm?sc.keyword=Software%20Engineer,https://www.monster.com/jobs/search/?q=Software%20Engineer,https://www.careerbuilder.com/jobs?keywords=Software%20Engineer,Netflix,214438,262736,Entry Level,"New York, NY",2024-01-15
Software Engineer,"Java, C++, Python, Agile Methodologies, Version Control (Git), Problem-solving","Coursera - Software Engineer Specialization, LinkedIn Learning - Java Fundamentals",Intermediate,IT,"Corporate, Startup",Medium,https://www.linkedin.com/jobs/search/?keywords=Software%20Engineer,https://www.indeed.com/jobs?q=Software%20Engineer,https://www.glassdoor.com/Job/jobs.htm?sc.keyword=Software%20Engineer,https://www.monster.com/jobs/search/?q=Software%20Engineer,https://www.careerbuilder.com/jobs?keywords=Software%20Engineer,Google,216104,323289,Entry Level,"Boston, MA",2024-01-29
Software Engineer,"Java, C++, Python, Agile Methodologies, Version Control (Git), Problem-solving","Coursera - Software Engineer Specialization, LinkedIn Learning - Java Fundamentals",Intermediate,IT,"Corporate, Startup",Medium,https://www.linkedin.com/jobs/search/?keywords=Software%20Engineer,https://www.indeed.com/jobs?q=Software%20Engineer,https://www.glassdoor.com/Job/jobs.htm?sc.keyword=Software%20Engineer,https://www.monster.com/jobs/search/?q=Software%20Engineer,https://www.careerbuilder.com/jobs?keywords=Software%20Engineer,Microsoft,160957,240760,Entry Level,"New York, NY",2024-01-26
